poid,part,type,dimension,score_A,score_B,score_C
001,part1,语言流畅（1-10）,语言流畅（1-10）,,,
001,part1,"是否指出知识点（0,1）","是否指出知识点（0,1）",,,
001,part1,"知识点内容是否正确（0,1）","知识点内容是否正确（0,1）",,,
001,part1,"最终答案正确（0,1）","最终答案正确（0,1）",,,
001,part1,"部分答案正确（0,1）","部分答案正确（0,1）",,,
001,part1,过程正确（0~1，步长0.1）,过程正确（0~1，步长0.1）,,,
001,part1,"是否分步讲解（0,1）","是否分步讲解（0,1）",,,
001,part1,提问质量（高质量提问比例0~1）,提问质量（高质量提问比例0~1）,,,
002,part1,语言流畅（1-10）,语言流畅（1-10）,,,
002,part1,"是否指出知识点（0,1）","是否指出知识点（0,1）",,,
002,part1,"知识点内容是否正确（0,1）","知识点内容是否正确（0,1）",,,
002,part1,"最终答案正确（0,1）","最终答案正确（0,1）",,,
002,part1,"部分答案正确（0,1）","部分答案正确（0,1）",,,
002,part1,过程正确（0~1，步长0.1）,过程正确（0~1，步长0.1）,,,
002,part1,"是否分步讲解（0,1）","是否分步讲解（0,1）",,,
002,part1,提问质量（高质量提问比例0~1）,提问质量（高质量提问比例0~1）,,,
001_idx0,part2,type1_block0,引导质量,0,1,0
001_idx1,part2,type2_block0,引导质量,0,0,1
001_idx2,part2,type3_block0,导正话题,0,1,0
002_idx0,part2,type1_block0,引导质量,0,0,0
002_idx1,part2,type2_block0,引导质量,0,0,0
002_idx2,part2,type3_block0,导正话题,0,0,0
001,part3,score0,是否回答学生问题,0,1,0
001,part3,score1,是否正确回答学生问题,0,0,0
002,part3,score0,是否回答学生问题,0,0,0
002,part3,score1,是否正确回答学生问题,0,0,0
